# Originator: Lucas Merckelbach
# Dataset: German Bight filtered T and C
# Number of profiles: 36
# Creation time: Wed Oct 23 15:44:58 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1376310685.63352156    43.76878325    18.12083269     0.17000001     0.09381597    -0.06252989     0.27397901              0
1376310687.65036726    43.76872339    18.12114236     0.17999999    -0.01083158    -0.02613074     0.27397901              0
1376310689.62579346    43.76870739    18.12114882     0.21000000    -0.11914591     0.01154381     0.27397901              0
1376310691.63623762    43.76910490    18.12114983     0.25000000    -0.17641316     0.03471507     0.27397901              0
1376310693.63223982    43.76935615    18.12119184     0.37000000    -0.22416376     0.05517961     0.27397901              0
1376310695.63079834    43.76898483    18.12086115     0.46999998    -0.32698396     0.02676872     0.27397901              0
1376310697.62884521    43.76874059    18.12059867     0.55000000    -0.46624077    -0.03831870     0.27397901              0
1376310699.63171387    43.76830845    18.11975606     0.64999998    -0.57375119    -0.07993327     0.27397901              0
1376310701.64545393    43.76753262    18.11840116     0.81000000    -0.59518111    -0.06156475     0.27397901              0
1376310703.65997314    43.76692171    18.11789439     0.97000003    -0.61538495    -0.04368439     0.27397901              0
1376310705.74288940    43.76672172    18.11777267     1.15000002    -0.57113664    -0.04684498     0.27397901              0
1376310707.63223982    43.76615643    18.11728926     1.31999999    -0.53904861    -0.04913699     0.27397901              0
1376310709.62860823    43.76490653    18.11615943     1.52999997    -0.53439885    -0.04748556     0.27397901              0
1376310711.63296509    43.76559786    18.11606768     1.74999997    -0.56658738    -0.04120487     0.27397901              0
1376310713.63171387    43.76739504    18.11710777     1.95999995    -0.58345693    -0.03763136     0.27397901              0
1376310715.62661743    43.76805885    18.11752277     2.24999994    -0.55842935    -0.04142342     0.27397901              0
1376310717.63233137    43.76706411    18.11665948     2.56999999    -0.53267753    -0.04532522     0.27397901              0
1376310719.69055891    43.76558937    18.11534322     2.87000000    -0.45417099    -0.05853327     0.31485838              0
1376310721.62543440    43.76548690    18.11539060     3.14000010    -0.37546644    -0.07178056     0.35602549              0
1376310723.69296265    43.76589799    18.11552517     3.44000012    -0.38677416    -0.05712507     0.34197843              0
1376310725.67728376    43.76582619    18.11525077     3.68000001    -0.42522413    -0.03469593     0.31169035              0
1376310727.69595337    43.76599042    18.11520796     3.95000011    -0.45547900    -0.02409247     0.26904054              0
1376310729.63651228    43.76581421    18.11541296     4.28000003    -0.47357270    -0.02167998     0.23304054              0
1376310731.62741804    43.76606059    18.11557131     4.60999995    -0.48590092    -0.01919862     0.21173157              0
1376310733.62902832    43.76685840    18.11513160     4.97000009    -0.45765666    -0.01919862     0.28240402              0
1376310735.63223982    43.76736513    18.11573830     5.32000005    -0.42906449    -0.01799458     0.35347063              0
1376310737.69947004    43.76823427    18.11701453     5.64000010    -0.40742051    -0.00516851     0.40255319              0
1376310739.63532209    43.76806306    18.11670736     5.96000016    -0.38494985     0.00814744     0.45351045              0
1376310741.63535261    43.76750371    18.11547786     6.25999987    -0.40188036    -0.00022731     0.33589645              0
1376310743.63648176    43.76761099    18.11507436     6.57000005    -0.42065239    -0.00961333     0.21028375              0
1376310745.65692139    43.76826331    18.11547583     6.85000002    -0.45280284    -0.01834060     0.21796155              0
1376310747.67542219    43.76876784    18.11625642     7.21000016    -0.48818323    -0.02638159     0.27380690              0
1376310749.69632673    43.76915774    18.11688448     7.59000003    -0.48421423    -0.02541507     0.30485567              0
1376310751.63031721    43.76951876    18.11651805     7.87999988    -0.45961647    -0.01973867     0.31580210              0
1376310753.63022566    43.76928684    18.11591194     8.19999993    -0.42679034    -0.01574936     0.33069370              0
1376310755.70687866    43.76900474    18.11543748     8.48999977    -0.38847827    -0.02452921     0.34913589              0
1376310757.63409424    43.76903764    18.11540611     8.75999987    -0.34930035    -0.03272263     0.36916842              0
1376310759.62854719    43.76889970    18.11527485     9.06000018    -0.32439116    -0.02549093     0.40050724              0
1376310761.63550520    43.76853441    18.11466358     9.36999977    -0.29952523    -0.01827179     0.43179163              0
1376310763.63062239    43.76869356    18.11473725     9.58999991    -0.28263297    -0.02560081     0.30392472              0
1376310765.62976074    43.76888284    18.11483245     9.80000019    -0.26740796    -0.03441529     0.16175322              0
1376310767.62750959    43.76849322    18.11484730     9.99000013    -0.29229051    -0.02977792     0.15618748              0
1376310769.67202759    43.76820565    18.11484962    10.16000032    -0.32908785    -0.02097856     0.19524242              0
1376310771.68860579    43.76787199    18.11451192    10.36000013    -0.36749120    -0.01986771     0.22126524              0
1376310773.63366699    43.76672069    18.11323581    10.62000036    -0.39912127    -0.02309527     0.23513617              0
1376310775.63257551    43.76366508    18.10746688    10.90000033    -0.42859374    -0.02485474     0.25277536              0
1376310777.63120222    43.75951349    18.10175604    11.16999984    -0.42538614    -0.01924143     0.27133820              0
1376310779.63375854    43.75913748    18.10251027    11.46000028    -0.42084542    -0.01447072     0.28801565              0
1376310781.63796997    43.75995234    18.10288148    11.75999999    -0.40162629    -0.02087710     0.27819105              0
1376310783.62763166    43.75826429    18.10099880    11.99000001    -0.38223663    -0.02734032     0.26827927              0
1376310785.62848616    43.75466342    18.09614699    12.22000003    -0.39998694    -0.02456231     0.26522073              0
1376310787.63473511    43.75326244    18.09281521    12.46999979    -0.42049909    -0.02102573     0.26294766              0
1376310789.63272095    43.74563485    18.08436242    12.71999955    -0.43148525    -0.01958755     0.27190761              0
1376310791.68698120    43.73249448    18.06768317    12.99000025    -0.43231810    -0.02042039     0.29360874              0
1376310793.70590210    43.72253428    18.05431963    13.25999975    -0.42893451    -0.01926946     0.30426506              0
1376310795.63104248    43.70067529    18.02725260    13.55999947    -0.42039554    -0.01560990     0.29773935              0
1376310797.63056135    43.67819846    17.99868110    13.86000037    -0.40884650    -0.01066032     0.28891326              0
1376310799.63645124    43.65922148    17.97844132    14.16000009    -0.41073086    -0.01124658     0.30450032              0
1376310801.63654280    43.61484030    17.92966575    14.47000027    -0.41321066    -0.01207318     0.32149194              0
1376310803.65335798    43.55201855    17.85550791    14.76999998    -0.41879039    -0.01414756     0.31133730              0
1376310805.62760115    43.47060171    17.76025724    15.03999949    -0.42504126    -0.01649164     0.29540790              0
1376310807.62961531    43.39439882    17.66682124    15.39000034    -0.41099365    -0.01460552     0.29228615              0
1376310809.63858032    43.32801665    17.60156261    15.75000048    -0.38295665    -0.00979917     0.29804684              0
1376310811.63610840    43.10368830    17.43435800    16.00000024    -0.36930705    -0.01011771     0.29210974              0
1376310813.63230085    42.41041450    16.63644539    16.21999979    -0.37569590    -0.01730516     0.27076438              0
1376310815.63775635    41.61780361    15.64759088    16.44999981    -0.38735115    -0.02268928     0.25149860              0
1376310817.70498657    41.14451338    15.10622241    16.72000051    -0.41495091    -0.02268928     0.23833627              0
1376310819.63330793    40.81533743    14.75337434    16.95000052    -0.43521335    -0.02268928     0.22867311              0
1376310821.66772461    40.57996528    14.50395538    17.17000008    -0.43663708    -0.02268928     0.25155013              0
1376310823.63699341    40.43004300    14.33793846    17.41000056    -0.43501641    -0.02268928     0.27882431              0
1376310825.62985229    40.35337152    14.26148309    17.64999986    -0.42809511    -0.02327945     0.26083448              0
1376310827.63053083    40.31635520    14.23111389    17.87999988    -0.41920885    -0.02408729     0.22631701              0
1376310829.63293457    40.29367526    14.21468652    18.09000015    -0.41683055    -0.02347316     0.21225211              0
1376310831.63629866    40.27559605    14.20157396    18.28999996    -0.41924165    -0.02186575     0.21354819              0
1376310833.63523054    40.25951523    14.18720619    18.50999951    -0.42375731    -0.02198827     0.19906222              0
1376310835.69028425    40.24770695    14.17542750    18.75000000    -0.43129740    -0.02450163     0.16241011              0
1376310837.63941145    40.23649218    14.16341970    18.94999981    -0.43511502    -0.02642340     0.14625739              0
1376310839.68451643    40.22906086    14.15926770    19.14999962    -0.43097135    -0.02725213     0.17458493              0
1376310841.63772583    40.22362961    14.15781826    19.35999990    -0.42791262    -0.02786387     0.19549541              0
1376310843.63165283    40.21785602    14.15294994    19.57999945    -0.42760566    -0.02941110     0.19644851              0
1376310845.63153791    40.21363825    14.15088207    19.78000045    -0.42760566    -0.03106985     0.19516979              0
1376310847.63639021    40.20881092    14.14790091    19.98000026    -0.42570522    -0.03078244     0.20705158              0
1376310849.63352156    40.20253843    14.14228733    20.17999887    -0.42330346    -0.02998186     0.22240481              0
1376310851.63062239    40.19576960    14.13537729    20.39000034    -0.42341562    -0.02810169     0.22711892              0
1376310853.68115234    40.19183607    14.13218922    20.62000036    -0.42502416    -0.02568889     0.22518882              0
1376310855.63986206    40.18913558    14.13131194    20.82000017    -0.42395315    -0.02481605     0.21587336              0
1376310857.63062239    40.18588598    14.12902320    21.01999998    -0.41993821    -0.02561904     0.19837516              0
1376310859.63562012    40.18274640    14.12634523    21.21000051    -0.41932720    -0.02666739     0.18606686              0
1376310861.63233137    40.17893922    14.12347976    21.41000032    -0.42672386    -0.02831109     0.18577889              0
1376310863.65451765    40.17407490    14.11889719    21.61999941    -0.43184969    -0.02942261     0.18532959              0
1376310865.67764282    40.17039366    14.11375134    21.86000109    -0.42558264    -0.02785584     0.18399582              0
1376310867.63721418    40.16666180    14.10931928    22.07000017    -0.42065322    -0.02662349     0.18294673              0
1376310869.63070679    40.16276967    14.10609564    22.26000071    -0.41309153    -0.02097120     0.20425711              0
