# Originator: me
# Number of profiles: 36
# Creation time: Fri Oct 11 09:49:55 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1369008749.29397583    50.60510159    18.91970062     0.23000000    -0.01968220     0.03490658     0.51764590              0
1369008751.33163452    50.60470104    18.91889954     0.21000000    -0.02193199     0.03490658     0.51764590              0
1369008753.29290771    50.60379982    18.91979980     0.14000000    -0.02419682     0.03490658     0.51764590              0
1369008755.29489136    50.60579777    18.91979980     0.22000000    -0.15368479     0.06034412     0.51764590              0
1369008757.29592896    50.60520172    18.92040062     0.35000000    -0.29509704     0.08817526     0.51764590              0
1369008759.29785156    50.60820103    18.92210007     0.41999999    -0.41100070     0.06020160     0.51764590              0
1369008761.30795288    50.61049938    18.92510033     0.63000001    -0.50786103    -0.00490124     0.51764590              0
1369008763.35456038    50.60890198    18.92309952     0.92000000    -0.60682834    -0.03322126     0.51764590              0
1369008765.29598999    50.60949802    18.92320061     1.27000004    -0.68762194    -0.01287324     0.51764590              0
1369008767.28836775    50.61349869    18.92580032     1.71000004    -0.79483995     0.01412981     0.51764590              0
1369008769.34478760    50.61309814    18.92720032     2.23000005    -0.68369896     0.00837001     0.51764590              0
1369008771.28759766    50.61329842    18.92659950     2.75999993    -0.55638808     0.00041309     0.51764590              0
1369008773.28802490    50.61289787    18.92600060     3.26000005    -0.52488762    -0.00235216     0.44990765              0
1369008775.28692627    50.61319828    18.92589951     3.70999992    -0.52900915    -0.00317647     0.35789385              0
1369008777.29095459    50.61460018    18.92760086     4.19999987    -0.54773845     0.00401612     0.34065306              0
1369008779.29331160    50.61709881    18.92910004     4.72000003    -0.57415122     0.01557172     0.36810126              0
1369008781.28833723    50.61590195    18.92849922     5.24999976    -0.58150992     0.01333923     0.39587645              0
1369008783.33462524    50.61180115    18.92440033     5.82000017    -0.57259506    -0.00043829     0.42307819              0
1369008785.34664917    50.60450077    18.91869926     6.38999999    -0.56559779    -0.00480451     0.44190949              0
1369008787.42065430    50.59319973    18.90060043     6.97000027    -0.56136931     0.00534382     0.44829304              0
1369008789.28887939    50.58859825    18.89150047     7.55999982    -0.55896042     0.01226787     0.45133063              0
1369008791.28632307    50.58680058    18.88969994     8.16999972    -0.56639046     0.01309343     0.43033341              0
1369008793.28799438    50.55540085    18.84420013     8.78000021    -0.57382364     0.01391934     0.40932732              0
1369008795.28745222    50.50620079    18.77140045     9.43000019    -0.56691091     0.01233988     0.46509197              0
1369008797.29544783    50.43179989    18.64609909    10.09999990    -0.55950680     0.01069452     0.52274975              0
1369008799.28704834    50.37570000    18.48460007    10.75999975    -0.53787858    -0.00730974     0.51218060              0
1369008801.29611206    50.39400101    18.43560028    11.38000011    -0.51313893    -0.02863702     0.49015050              0
1369008803.28757429    50.40760040    18.37389946    11.94000006    -0.53031919    -0.03700612     0.45595830              0
1369008805.28765869    50.42590141    18.30730057    12.48999953    -0.55997082    -0.04208925     0.41693260              0
1369008807.33563948    50.38969994    18.16320038    13.04999948    -0.58377582    -0.04590992     0.42161723              0
1369008809.35485840    50.34389973    18.09609985    13.66000056    -0.60520830    -0.04920722     0.44556978              0
1369008811.29379272    50.26199818    18.02090073    14.32000041    -0.59711769    -0.05061455     0.45106709              0
1369008813.29660749    50.02329826    17.81629944    14.96999979    -0.54906046    -0.05061455     0.43789208              0
1369008815.28765869    49.38220024    17.15369987    15.54999948    -0.52382131    -0.05061455     0.42716892              0
1369008817.29224348    49.18479919    16.88260078    16.10000014    -0.54795794    -0.05061455     0.42104138              0
1369008819.28680420    49.13139820    16.83860016    16.66000009    -0.57219640    -0.05034629     0.41908787              0
1369008821.29580688    49.05449867    16.78240013    17.26999998    -0.59198963    -0.04869686     0.43988725              0
1369008823.29089355    48.83299828    16.55330086    17.92999983    -0.60797198    -0.04646085     0.46112775              0
1369008825.31878662    48.58900070    16.27899933    18.61999989    -0.56845316    -0.03740446     0.48032423              0
1369008827.32885742    48.52149963    16.19939995    19.27000046    -0.52900191    -0.02836355     0.49948787              0
1369008829.43756819    48.49870205    16.18989944    19.86999989    -0.54103637    -0.02218241     0.48387297              0
1369008831.29504395    48.47980022    16.17690086    20.46000004    -0.55158570    -0.01783856     0.47135933              0
1369008833.29126692    48.46360207    16.16889954    21.05000019    -0.56457538    -0.01518694     0.46274634              0
1369008835.29010010    48.44560146    16.15769958    21.67999983    -0.57731893    -0.01433737     0.45871032              0
1369008837.29071045    48.39759827    16.11940002    22.33000040    -0.56802789    -0.01034758     0.45952834              0
1369008839.29595947    48.32230091    16.04789925    22.96999931    -0.54069296    -0.00372093     0.46429116              0
1369008841.28745222    48.21849823    15.95650005    23.55999947    -0.53182466     0.00152483     0.47809395              0
1369008843.29064941    48.11339855    15.84669971    24.14999962    -0.54578251     0.00480903     0.50206253              0
1369008845.29032087    48.05990219    15.79020023    24.74999905    -0.55154310     0.00804951     0.50389900              0
1369008847.31961060    48.02380085    15.75819969    25.36999941    -0.54113004     0.01125353     0.46185475              0
1369008849.33374023    48.00220013    15.74149990    25.96999884    -0.53329612     0.01376850     0.42593327              0
1369008851.31909180    47.96780109    15.71459961    26.54999971    -0.54159778     0.01210816     0.42275491              0
1369008853.28890991    47.93789864    15.68770027    27.13999987    -0.54762122     0.01090347     0.42044879              0
1369008855.28949690    47.90900230    15.66170025    27.73000002    -0.54796420     0.00926230     0.45451360              0
1369008857.29724836    47.89430141    15.64169979    28.32999945    -0.54542163     0.00756725     0.50340442              0
1369008859.34286499    47.88400173    15.62959957    28.91000032    -0.54560715     0.00378802     0.48643020              0
1369008861.28771973    47.87620068    15.62520027    29.48999882    -0.54726157    -0.00117527     0.43377955              0
1369008863.29630232    47.87059784    15.62100029    30.06000042    -0.55173323    -0.00487810     0.41335838              0
1369008865.35314941    47.85379887    15.60809994    30.63999891    -0.55832334    -0.00734939     0.42073338              0
1369008867.29101562    47.83629894    15.58380032    31.22999907    -0.55980490    -0.00909184     0.43843886              0
1369008869.29563093    47.83750057    15.57649994    31.84000015    -0.55467923    -0.00994611     0.47024202              0
1369008871.31707764    47.83649921    15.57100010    32.43000031    -0.54887437    -0.01135520     0.46781507              0
1369008873.34461164    47.84410000    15.57380009    33.02000046    -0.54146525    -0.01382491     0.40628689              0
1369008875.29227400    47.82750130    15.55780029    33.59999895    -0.53593021    -0.01568514     0.36122943              0
1369008877.32160139    47.82030106    15.54990005    34.18999910    -0.54004935    -0.01486131     0.42819356              0
1369008879.28739119    47.81089783    15.54269981    34.76999998    -0.54427852    -0.01401548     0.49694629              0
1369008881.28662825    47.78610229    15.51910019    35.36000013    -0.54608808    -0.01396263     0.45318555              0
1369008883.34658813    47.76100159    15.49479961    35.95999956    -0.54773986    -0.01396263     0.40181974              0
1369008885.29699707    47.73459911    15.47130013    36.54999971    -0.54458707    -0.00913781     0.42534123              0
1369008887.29648542    47.70349979    15.43999958    37.14999914    -0.54056504    -0.00350694     0.46344400              0
1369008889.29035139    47.67310143    15.41049957    37.73999929    -0.53989665     0.00120420     0.48798159              0
1369008891.29932356    47.65079975    15.38889980    38.32999945    -0.54072833     0.00536269     0.50577031              0
1369008893.31375122    47.64530182    15.38239956    38.92999887    -0.53954393     0.00748402     0.48718922              0
1369008895.38123274    47.62829781    15.37020016    39.53000069    -0.53701213     0.00832796     0.44437167              0
1369008897.29498291    47.60700226    15.34959984    40.13000011    -0.53537178     0.00872665     0.42675601              0
1369008899.29053450    47.58870125    15.33160019    40.72000027    -0.53370943     0.00872665     0.43652864              0
1369008901.35163069    47.57870197    15.32439995    41.30000114    -0.53247522     0.00797776     0.44620579              0
1369008903.29898071    47.55760193    15.30350018    41.88000202    -0.53331276     0.00378996     0.45482285              0
1369008905.29290771    47.55310059    15.29969978    42.45999813    -0.53458347     0.00006409     0.46110893              0
1369008907.29441023    47.54700184    15.29430008    43.03999901    -0.54127870     0.00090100     0.44136096              0
1369008909.29302979    47.53950119    15.28670025    43.62999916    -0.54802500     0.00174428     0.42146237              0
1369008911.29306030    47.53160000    15.27970028    44.21000004    -0.54637371    -0.00240383     0.40738392              0
1369008913.29211426    47.52630234    15.27470016    44.80000019    -0.54468396    -0.00662824     0.39307526              0
1369008915.31647444    47.51619816    15.26710033    45.38000107    -0.54604980    -0.01225612     0.45889001              0
1369008917.34478760    47.50979900    15.26039982    45.97000122    -0.54770185    -0.01803833     0.53234683              0
1369008919.42420149    47.50370026    15.25570011    46.56000137    -0.54402856    -0.01786369     0.50289724              0
1369008921.29467773    47.49020100    15.24429989    47.16000080    -0.54040903    -0.01665717     0.46295854              0
1369008923.29965210    47.48429775    15.23789978    47.74000168    -0.53620755    -0.01672337     0.42953356              0
1369008925.28946638    47.47849941    15.23359966    48.34000111    -0.53281184    -0.01927015     0.42450774              0
1369008927.29639387    47.47449875    15.22900009    48.90999794    -0.53190939    -0.01988052     0.43555932              0
1369008929.28988647    47.47320175    15.22830009    49.49999809    -0.53604384    -0.01657297     0.48020609              0
1369008931.28961897    47.47230053    15.22879982    50.07999897    -0.53930676    -0.01335622     0.50828216              0
1369008933.29837751    47.46809959    15.22490025    50.66999912    -0.53930676    -0.01088802     0.47914275              0
1369008935.29456282    47.46250153    15.22010040    51.25000000    -0.53920190    -0.00851692     0.45152713              0
1369008937.31668091    47.45870113    15.21689987    51.84000015    -0.53834769    -0.00680853     0.43443178              0
1369008939.33801270    47.45709896    15.21469975    52.43000031    -0.53760142    -0.00507598     0.41812789              0
1369008941.32882690    47.45560169    15.21319962    53.01000118    -0.53845027    -0.00168061     0.40607631              0
1369008943.29947615    47.45079994    15.21070004    53.60000134    -0.53906928     0.00079542     0.39728783              0
1369008945.29196167    47.44379997    15.20289993    54.19000149    -0.53755135     0.00291559     0.42497536              0
1369008947.29278564    47.43710041    15.19839954    54.78000164    -0.53500030     0.00461628     0.47011198              0
1369008949.29523420    47.42730141    15.18999958    55.37000179    -0.53251805     0.00575355     0.47765574              0
1369008951.30010986    47.41590023    15.18369961    55.96000195    -0.53005564     0.00657436     0.46353547              0
1369008953.29098511    47.39729881    15.16650009    56.55000210    -0.52883476     0.00698132     0.46508411              0
1369008955.35391235    47.39059925    15.16079998    57.12999821    -0.52883476     0.00698132     0.48096924              0
1369008957.29702759    47.38580227    15.15660000    57.70999908    -0.52976632     0.00604975     0.48172368              0
1369008959.29574585    47.38279819    15.15410042    58.29999924    -0.53231999     0.00349607     0.45660072              0
1369008961.32067871    47.37919807    15.15100002    58.87000084    -0.53429975     0.00060026     0.43853205              0
1369008963.33145857    47.37850189    15.14960003    59.46000099    -0.53509079    -0.00335491     0.43561358              0
1369008965.29233503    47.37639904    15.14939976    60.04000187    -0.53571259    -0.00646388     0.43331952              0
1369008967.29684448    47.37060070    15.14389992    60.61999798    -0.53724474    -0.01198163     0.45460130              0
1369008969.29086304    47.36549854    15.13980007    61.19999886    -0.53889023    -0.01774078     0.47955254              0
1369008971.29358625    47.35509872    15.13099957    61.78999901    -0.53736478    -0.01660934     0.47065164              0
1369008973.34094238    47.34799862    15.12539959    62.37999916    -0.53488952    -0.01330902     0.45125595              0
1369008975.30072021    47.33359814    15.11450005    62.96000004    -0.53177621    -0.01336457     0.44699348              0
1369008977.33502197    47.32880116    15.10799980    63.55000019    -0.52849711    -0.01500412     0.45007091              0
1369008979.29000854    47.33059883    15.10900021    64.13000107    -0.52850763    -0.01476250     0.45327662              0
1369008981.29614258    47.32709885    15.10659981    64.69999790    -0.53098211    -0.01311286     0.45656484              0
1369008983.28919172    47.32180119    15.10169983    65.26999950    -0.53460719    -0.01221730     0.45204220              0
1369008985.29702759    47.31440067    15.09609985    65.85000038    -0.53958782    -0.01221730     0.43827353              0
1369008987.29025984    47.29690075    15.08150005    66.42000198    -0.54279739    -0.01165911     0.43005665              0
1369008989.31900024    47.28579998    15.07019997    66.98999882    -0.54279739    -0.01004385     0.43195435              0
1369008991.40921736    47.28310108    15.06799984    67.56000042    -0.54297677    -0.00782973     0.43620483              0
1369008993.29541731    47.27700233    15.06299973    68.13000202    -0.54359121    -0.00475754     0.44546328              0
1369008995.31760359    47.27290154    15.05790043    68.70999813    -0.54440874    -0.00066997     0.45778172              0
1369008997.29025984    47.27270126    15.05599976    69.28999901    -0.53662189     0.00432046     0.44828654              0
1369008999.29388428    47.27230072    15.05580044    69.86999989    -0.52752352     0.00928322     0.43506060              0
1369009001.29898071    47.26160049    15.04780006    70.44000149    -0.52160276     0.00922485     0.44248407              0
1369009003.30033064    47.24289894    15.03429985    71.02000237    -0.51647891     0.00751691     0.45698931              0
1369009005.29254866    47.19110012    15.00389957    71.57000065    -0.51984321     0.00587663     0.45512241              0
1369009007.29205322    47.12999821    14.94149971    72.12999821    -0.52743493     0.00418959     0.44532469              0
1369009009.29029036    47.11490154    14.92749977    72.69000053    -0.53250763     0.00300878     0.43885711              0
1369009011.29196167    47.10649967    14.92039967    73.26000214    -0.53579535     0.00218685     0.43474905              0
1369009013.34644270    47.10370064    14.91870022    73.82999897    -0.53490128     0.00174533     0.44338563              0
1369009015.33618879    47.10179806    14.91670036    74.40000057    -0.52909776     0.00174533     0.46704210              0
1369009017.35950422    47.12979794    14.93470001    74.97000217    -0.52650428     0.00116526     0.47041717              0
1369009019.29843855    47.15260029    14.95040035    75.52999973    -0.52903534    -0.00010027     0.44439950              0
1369009021.29059553    47.15610027    14.95590019    76.09000206    -0.53232821    -0.00175363     0.41062126              0
1369009023.29678345    47.14039803    14.94559956    76.65999889    -0.53396751    -0.00667155     0.43549119              0
1369009025.29293823    47.11030006    14.92169952    77.23999977    -0.53558484    -0.01152359     0.46002793              0
1369009027.31869507    47.09469795    14.90250015    77.81000137    -0.53298888    -0.01575130     0.45256045              0
1369009029.29627180    47.08809853    14.89799976    78.39000225    -0.52959404    -0.01999485     0.43938119              0
1369009031.30344343    47.07300186    14.88889980    78.95999908    -0.52946847    -0.01967654     0.44535196              0
1369009033.29749250    47.05190182    14.86800003    79.52000141    -0.53029016    -0.01803317     0.45691585              0
1369009035.29962873    47.03839779    14.85729980    80.10000229    -0.52777403    -0.01576965     0.44480329              0
1369009037.29882812    46.95980072    14.80440044    80.67000389    -0.52365274    -0.01329688     0.42102062              0
